creative_id,format,hook_type,language,creative_quality_latent,thumbstop_rate_latent
CR_IG8F1CBF,Video,UGC,AR/EN,0.69,0.525
CR_B9M80O2R,Image,UGC,AR/EN,0.711,0.824
CR_1VRJNVGF,Collection,Offer,EN,0.587,0.508
CR_WQC38HYF,Carousel,How-to,AR/EN,0.841,0.688
CR_XMECOSFO,Image,Testimonial,EN,0.554,0.648
CR_3XKXWNRE,Video,Lifestyle,AR/EN,0.555,0.466
CR_PK3YR9OU,Image,UGC,AR,0.654,0.206
CR_UZRENUN5,Collection,How-to,EN,0.379,0.449
CR_JQIP98Q1,Collection,Product Demo,AR,0.478,0.607
CR_I65FDHJK,Collection,Lifestyle,AR,0.493,0.296
CR_YY37Q9AH,Carousel,How-to,EN,0.825,0.509
CR_HS1K3AQ6,Video,Lifestyle,AR,0.629,0.294
CR_T6MJXK87,Image,Lifestyle,EN,0.544,0.57
CR_5BHXTPDP,Image,Offer,AR/EN,0.459,0.618
CR_5E8II49K,Carousel,Lifestyle,AR/EN,0.536,0.497
CR_1N8MTZX2,Collection,Offer,AR,0.536,0.883
CR_OEVB9OOA,Image,How-to,AR/EN,0.618,0.36
CR_DOECVE6P,Carousel,How-to,EN,0.735,0.33
CR_N8I4P40M,Image,Offer,AR/EN,0.649,0.197
CR_1W103DGD,Collection,How-to,EN,0.434,0.585
CR_GPMM82I1,Video,Product Demo,EN,0.723,0.581
CR_PE29GD8A,Image,UGC,AR,0.604,0.496
CR_054NZDKY,Image,Testimonial,EN,0.413,0.42
CR_3S195JMS,Video,Offer,AR/EN,0.556,0.74
CR_8DUDD467,Video,Offer,AR/EN,0.668,0.233
CR_FLEEPZHP,Image,Lifestyle,AR,0.665,0.481
CR_07UQNUPQ,Collection,UGC,AR/EN,0.525,0.66
CR_T3UEA3GE,Video,Lifestyle,EN,0.764,0.718
CR_IWEPXSK2,Carousel,Lifestyle,AR/EN,0.503,0.494
CR_7A9TGIQH,Image,How-to,AR/EN,0.666,0.726
CR_JRSNVNQ6,Collection,Product Demo,AR,0.553,0.517
CR_F1RCAVIQ,Video,How-to,EN,0.465,0.335
CR_919AHEJ8,Image,Product Demo,AR/EN,0.734,0.794
CR_9J1ICTXC,Carousel,UGC,AR/EN,0.61,0.731
CR_PGW90JPK,Video,Testimonial,AR,0.671,0.434
CR_LV0PRKGY,Image,Testimonial,AR,0.671,0.827
CR_M3WTOOBM,Collection,Product Demo,EN,0.615,0.832
CR_ERW6Z8VB,Image,Product Demo,AR,0.253,0.698
CR_QCG1WU16,Image,Testimonial,AR/EN,0.632,0.496
CR_MQC1A78M,Carousel,Testimonial,AR,0.633,0.192
CR_VUHT6T0U,Collection,How-to,EN,0.589,0.614
CR_9IM0YLTZ,Image,Product Demo,EN,0.827,0.457
CR_N1U322N6,Collection,How-to,AR,0.507,0.46
CR_FS6VFPTO,Video,UGC,AR,0.748,0.609
CR_CP4E30MY,Collection,Testimonial,AR,0.546,0.642
CR_JAG1OL73,Image,Lifestyle,AR,0.634,0.724
CR_H3I379U2,Collection,Lifestyle,EN,0.522,0.491
CR_K42QPR75,Video,Product Demo,EN,0.565,0.287
CR_ESPRVU8F,Video,UGC,AR,0.661,0.597
CR_YJNE00V8,Collection,Testimonial,AR,0.621,0.508
CR_N0YBY4AW,Carousel,Testimonial,EN,0.422,0.474
CR_88O5OR15,Image,Testimonial,EN,0.572,0.406
CR_ZK3I8BZB,Image,How-to,EN,0.597,0.623
CR_I3LDQYUN,Collection,Product Demo,EN,0.884,0.581
CR_YR0QF4B8,Image,Product Demo,AR,0.656,0.537
