platform,campaign_id,adset_id,adset_name,audience_id,geo,currency,device,placement,optimization_event,bid_strategy,daily_budget
Meta,C_EIW1XF26,AS_IFU6FD6Y,Interest | Kuwait | Tablet | Reels,AU_82MUX4B0,Kuwait,KWD,Mobile,Feed,AppInstall,Lowest Cost,25.0
Meta,C_EIW1XF26,AS_NQ6PUXCM,Lookalike | Kuwait | Mobile | Marketplace,AU_YXV2KGAF,Kuwait,KWD,Mobile,Stories,AddToCart,Maximize Conversions,73.82
Meta,C_EIW1XF26,AS_JXVF2OLD,Lookalike | Kuwait | Desktop | Audience Network,AU_YXV2KGAF,Kuwait,KWD,Desktop,Stories,AppInstall,Bid Cap,60.32
Meta,C_EIW1XF26,AS_APJ2GEJR,Interest | Qatar | Desktop | Stories,AU_CQURTAEB,Qatar,QAR,Mobile,Feed,AppInstall,Bid Cap,25.67
Meta,C_8AY13F2L,AS_CHVQDR91,Interest | Qatar | Tablet | Audience Network,AU_CQURTAEB,Qatar,QAR,Desktop,Stories,Lead,Lowest Cost,80.25
Meta,C_8AY13F2L,AS_JBBCICEC,Lookalike | Qatar | Mobile | Audience Network,AU_0VSTQQZP,Qatar,QAR,Desktop,Reels,AppInstall,Lowest Cost,29.12
Meta,C_B17GW4D8,AS_SK1A7MSD,Lookalike | KSA | Mobile | Stories,AU_YQOAA8T3,KSA,SAR,Desktop,Feed,LandingPageView,Cost Cap,58.4
Meta,C_B17GW4D8,AS_TQ186KYO,Lookalike | Kuwait | Desktop | Reels,AU_P8HSSRRX,Kuwait,KWD,Tablet,Audience Network,AppInstall,Lowest Cost,43.78
Meta,C_WKPUMQGK,AS_JJTT1RMG,Broad | Qatar | Tablet | Feed,AU_VZHMASQX,Qatar,QAR,Desktop,Reels,LandingPageView,Maximize Conversions,31.91
Meta,C_WKPUMQGK,AS_OLH31UQG,CRM | Kuwait | Desktop | Reels,AU_PXQMB0Y0,Kuwait,KWD,Desktop,Reels,AddToCart,Maximize Conversions,25.0
Meta,C_WKPUMQGK,AS_BX7V03NL,Interest | Qatar | Desktop | Audience Network,AU_ZX3KIAD9,Qatar,QAR,Mobile,Audience Network,AddToCart,Lowest Cost,35.65
