creative_id,format,hook_type,language,creative_quality_latent,thumbstop_rate_latent
CR_D6NCF10E,Video,Offer,AR/EN,0.867,0.476
CR_1DHODZDO,Image,Lifestyle,AR,0.635,0.633
CR_S0J8HT9L,Image,Lifestyle,AR/EN,0.52,0.56
CR_MXG9EDN5,Collection,Product Demo,EN,0.63,0.244
CR_3XTPLPFT,Collection,Product Demo,AR/EN,0.772,0.668
CR_2SEH60KV,Video,Testimonial,EN,0.542,0.529
CR_CE9UVW53,Image,Offer,EN,0.701,0.513
CR_4EDT2SYW,Image,Testimonial,EN,0.596,0.298
CR_KH5DNSIP,Collection,Testimonial,EN,0.708,0.582
CR_FK2Z9RI1,Carousel,How-to,EN,0.668,0.285
CR_WYOJFLJO,Video,Offer,EN,0.861,0.588
CR_LQSAJ08X,Carousel,UGC,AR/EN,0.576,0.925
CR_6D39ZZZZ,Image,Testimonial,AR/EN,0.624,0.299
CR_ZDMEN2KH,Carousel,Lifestyle,AR,0.573,0.148
CR_GAJ8GXBE,Video,Lifestyle,EN,0.777,0.485
CR_JQWX4HH5,Collection,Testimonial,EN,0.526,0.753
CR_TFJGVQ4K,Image,UGC,AR/EN,0.399,0.656
CR_XJ8B7TFQ,Carousel,UGC,EN,0.341,0.441
CR_O886VOMP,Collection,How-to,AR,0.461,0.823
CR_M75WBBR4,Carousel,UGC,AR/EN,0.877,0.501
CR_W2WXFOGO,Collection,UGC,EN,0.748,0.528
CR_N4A4WFHY,Video,Testimonial,AR,0.71,0.424
CR_1VFZ3ZFK,Video,UGC,AR,0.391,0.235
CR_J3J4WJ99,Video,Offer,AR,0.684,0.95
CR_G7I1MNBQ,Video,Product Demo,AR/EN,0.668,0.466
CR_PUQ80IDW,Collection,How-to,AR/EN,0.898,0.603
CR_706I8J76,Image,Testimonial,AR,0.644,0.605
CR_AJLJ4H9D,Carousel,How-to,AR/EN,0.611,0.504
CR_794G9DPM,Carousel,Offer,AR,0.429,0.65
CR_629BE2U6,Video,How-to,EN,0.617,0.775
CR_26846P7Q,Video,Testimonial,AR,0.578,0.217
CR_0HZ2UEP1,Image,UGC,AR/EN,0.616,0.866
CR_THJXJQI3,Video,How-to,AR,0.576,0.4
CR_Z5KOK16Z,Carousel,Testimonial,AR,0.463,0.371
CR_WUFXBV93,Collection,How-to,AR,0.588,0.348
CR_YV7S6EHO,Image,Offer,EN,0.84,0.509
CR_RCLRI1QZ,Video,Lifestyle,AR/EN,0.645,0.819
CR_5UFRDL1E,Carousel,Offer,AR/EN,0.84,0.522
CR_FQFOEQH3,Image,Product Demo,AR/EN,0.676,0.692
CR_0RIC7PHK,Carousel,Offer,AR,0.603,0.24
CR_MTT7NS26,Video,Product Demo,EN,0.722,0.721
CR_BQCAB69M,Collection,UGC,EN,0.688,0.394
CR_G158Z6TN,Video,Product Demo,AR,0.603,0.454
CR_IZWDIAEQ,Collection,UGC,AR,0.588,0.793
CR_FY6SPSC3,Video,UGC,EN,0.844,0.68
CR_2AQXV9UP,Image,Product Demo,AR,0.707,0.682
CR_WLAVYF4R,Video,UGC,AR/EN,0.628,0.546
CR_AFQFJZCZ,Image,Product Demo,EN,0.536,0.55
CR_OF7JYU5J,Carousel,How-to,AR/EN,0.946,0.716
CR_JC616I76,Image,How-to,AR/EN,0.582,0.475
CR_OFBCIXGY,Collection,Lifestyle,AR,0.509,0.627
CR_B8P5QA3E,Image,How-to,AR/EN,0.685,0.3
CR_E4QEQPNO,Collection,Testimonial,EN,0.698,0.457
CR_E4SCMEJV,Carousel,How-to,AR/EN,0.83,0.588
CR_TIA4D5RG,Video,How-to,EN,0.87,0.478
CR_S7S333H9,Video,Product Demo,AR,0.59,0.614
CR_4BS3E62R,Collection,UGC,AR,0.778,0.662
CR_EFJ7QXI6,Carousel,Offer,AR/EN,0.457,0.593
CR_XO55ZBKA,Collection,How-to,EN,0.633,0.483
CR_ZTJ0WYUH,Carousel,Offer,EN,0.539,0.875
